"d","v","anio","mes"
2017-01-02,1068233,2017,1
2017-02-01,1087429,2017,2
2017-03-01,1109926,2017,3
2017-04-03,1130757,2017,4
2017-05-02,1159351,2017,5
2017-06-01,1203691,2017,6
2017-07-03,1258972,2017,7
2017-08-01,1320341,2017,8
2017-09-01,1368555,2017,9
2017-10-02,1423882,2017,10
2017-11-01,1482098,2017,11
2017-12-01,1546247,2017,12
2018-01-02,1620380,2018,1
2018-02-01,1685094,2018,2
2018-03-01,1725761,2018,3
2018-04-03,1767233,2018,4
2018-05-02,1839222,2018,5
2018-06-01,1948018,2018,6
2018-07-02,2027186,2018,7
2018-08-01,2018023,2018,8
2018-09-03,2223257,2018,9
2018-10-01,2236722,2018,10
2018-11-01,2143750,2018,11
2018-12-03,2161447,2018,12
2019-01-02,2151996,2019,1
2019-02-01,2144704,2019,2
2019-03-01,2171922,2019,3
2019-04-01,2222290,2019,4
2019-05-02,2263023,2019,5
2019-06-03,2256850,2019,6
2019-07-01,2229895,2019,7
2019-08-01,2302250,2019,8
2019-09-02,2501093,2019,9
2019-10-01,2450889,2019,10
2019-11-01,2507175,2019,11
2019-12-02,2483930,2019,12
2020-01-02,2493247,2020,1
2020-02-03,2478319,2020,2
2020-03-02,2492232,2020,3
2020-04-01,2595070,2020,4
2020-05-04,2676917,2020,5
2020-06-01,2740862,2020,6
2020-07-01,2801772,2020,7
2020-08-03,2853547,2020,8
2020-09-01,2932944,2020,9
2020-10-01,2982666,2020,10
2020-11-02,3079798,2020,11
2020-12-01,3164962,2020,12
2021-01-04,3276077,2021,1
2021-02-01,3325901,2021,2
2021-03-01,3376804,2021,3
2021-04-05,3434592,2021,4
2021-05-03,3480459,2021,5
2021-06-01,3563656,2021,6
2021-07-01,3647505,2021,7
2021-08-02,3724384,2021,8
2021-09-01,3830443,2021,9
2021-10-01,4013919,2021,10
2021-11-01,4166763,2021,11
2021-12-01,4445511,2021,12
2022-01-03,4613783,2022,1
2022-02-01,4657887,2022,2
2022-03-02,4858590,2022,3
2022-04-01,5037943,2022,4
2022-05-02,5291483,2022,5
2022-06-01,5538541,2022,6
2022-07-01,5941776,2022,7
2022-08-01,6269882,2022,8
2022-09-01,6458663,2022,9
2022-10-03,6650030,2022,10
2022-11-01,6973117,2022,11
2022-12-01,7386730,2022,12
2023-01-02,7699256,2023,1
2023-02-01,7937863,2023,2
2023-03-01,8367234,2023,3
2023-04-03,9020091,2023,4
2023-05-02,9955157,2023,5
2023-06-01,10633054,2023,6
2023-07-03,11172845,2023,7
2023-08-01,12038783,2023,8
2023-09-01,13347805,2023,9
2023-10-02,14253488,2023,10
2023-11-01,15979292,2023,11
2023-12-01,17180712,2023,12
2024-01-02,18987967,2024,1
2024-02-01,20766194,2024,2
2024-03-01,22249357,2024,3
2024-04-03,24752512,2024,4
