"fecha","con_estacionalidad","desestacionalizado"
2026-01-01,244.5,220.7
2025-12-01,252,249.7
2025-11-01,260.8,241.9
2025-10-01,326.3,260.4
2025-09-01,312.9,266.3
2025-08-01,300,263.4
2025-07-01,299.5,288.2
2025-06-01,280.5,289.5
2025-05-01,272.9,250.7
2025-04-01,287.8,285.2
2025-03-01,250.4,258.2
2025-02-01,248,239.7
2025-01-01,247.2,223.1
2024-12-01,244.2,242
2024-11-01,275.9,245
2024-10-01,296.5,253.2
2024-09-01,293.7,260.5
2024-08-01,317.6,275.4
2024-07-01,299.1,287.8
2024-06-01,245.3,256.7
2024-05-01,250.6,233.9
2024-04-01,228.8,226.7
2024-03-01,216.2,213
2024-02-01,237.2,239.8
2024-01-01,224.6,224.6
2023-12-01,261.6,274.1
2023-11-01,367,321.8
2023-10-01,413.5,372.9
2023-09-01,376.5,324.3
2023-08-01,397.5,344.8
2023-07-01,358.1,348.8
2023-06-01,360.5,355.8
2023-05-01,357.2,352.5
2023-04-01,342.5,348.5
2023-03-01,360.5,322.2
2023-02-01,318.9,337.9
2023-01-01,346.7,313
2022-12-01,316.7,298.5
2022-11-01,385.2,337.2
2022-10-01,394,370.7
2022-09-01,413.8,352.2
2022-08-01,429.7,372.7
2022-07-01,412.6,413.6
2022-06-01,389.6,384.5
2022-05-01,393.3,371.8
2022-04-01,390.9,392.4
2022-03-01,396.7,374.2
2022-02-01,357,360.9
2022-01-01,345.1,324.7
2021-12-01,362.8,341.9
2021-11-01,405.7,365.9
2021-10-01,393.9,370.5
2021-09-01,405.2,344.8
2021-08-01,383.3,361.6
2021-07-01,380.7,370.7
2021-06-01,371.5,366.7
2021-05-01,336.6,344.3
2021-04-01,359.5,345.6
2021-03-01,363.3,324.7
2021-02-01,323,344.2
2021-01-01,332.1,316.4
2020-12-01,314.4,314.2
2020-11-01,380.6,347.8
2020-10-01,414.8,358.3
2020-09-01,384.2,345.1
2020-08-01,344.3,315.1
2020-07-01,354.4,355.3
2020-06-01,287.4,279.9
2020-05-01,210,210
2020-04-01,77,74.1
2020-03-01,178.3,181.3
2020-02-01,258,264.4
2020-01-01,267.8,241.7
2019-12-01,266.2,251
2019-11-01,335.5,297.4
2019-10-01,358.3,302.1
2019-09-01,324.2,287.5
2019-08-01,336.4,291.8
2019-07-01,312.1,304
2019-06-01,282.5,295.6
2019-05-01,318.2,297.1
2019-04-01,300,301.2
2019-03-01,294.8,290.4
2019-02-01,274,264.9
2019-01-01,278.6,251.5
2018-12-01,243.6,243.5
2018-11-01,297.7,260.6
2018-10-01,329.4,281.1
2018-09-01,347.5,312.1
2018-08-01,363.8,315.6
2018-07-01,337.4,338.2
2018-06-01,328,314.4
2018-05-01,365.3,345.3
2018-04-01,362.1,363.5
2018-03-01,352.2,332.3
2018-02-01,315.8,334.6
2018-01-01,348.5,314.6
2017-12-01,356.9,340.9
2017-11-01,428,374.6
2017-10-01,398.5,354.4
2017-09-01,405.9,349.7
2017-08-01,413.6,363.2
2017-07-01,364.8,351
2017-06-01,346.6,337.6
2017-05-01,340.1,321.5
2017-04-01,305.6,311.2
2017-03-01,343.9,307.4
2017-02-01,281,297.7
2017-01-01,304.9,275.3
