"indice_tiempo","estacionalidad","valor"
"2002-06-01","Con estacionalidad","31.5"
"2002-06-01","Sin estacionalidad","31.5"
"2002-07-01","Con estacionalidad","32.4"
"2002-07-01","Sin estacionalidad","34.4"
"2002-08-01","Con estacionalidad","35.5"
"2002-08-01","Sin estacionalidad","34"
"2002-09-01","Con estacionalidad","36.7"
"2002-09-01","Sin estacionalidad","34.5"
"2002-10-01","Con estacionalidad","39.7"
"2002-10-01","Sin estacionalidad","37.3"
"2002-11-01","Con estacionalidad","40.5"
"2002-11-01","Sin estacionalidad","37.5"
"2002-12-01","Con estacionalidad","40.2"
"2002-12-01","Sin estacionalidad","38.4"
"2003-01-01","Con estacionalidad","42.9"
"2003-01-01","Sin estacionalidad","42.7"
"2003-02-01","Con estacionalidad","38"
"2003-02-01","Sin estacionalidad","37.2"
"2003-03-01","Con estacionalidad","43.9"
"2003-03-01","Sin estacionalidad","43.3"
"2003-04-01","Con estacionalidad","45.4"
"2003-04-01","Sin estacionalidad","45.6"
"2003-05-01","Con estacionalidad","45.6"
"2003-05-01","Sin estacionalidad","45.6"
"2003-06-01","Con estacionalidad","43.6"
"2003-06-01","Sin estacionalidad","43.6"
"2003-07-01","Con estacionalidad","51.6"
"2003-07-01","Sin estacionalidad","54.8"
"2003-08-01","Con estacionalidad","53.8"
"2003-08-01","Sin estacionalidad","51.5"
"2003-09-01","Con estacionalidad","58.5"
"2003-09-01","Sin estacionalidad","54.9"
"2003-10-01","Con estacionalidad","59.6"
"2003-10-01","Sin estacionalidad","56.1"
"2003-11-01","Con estacionalidad","59.1"
"2003-11-01","Sin estacionalidad","54.7"
"2003-12-01","Con estacionalidad","54.8"
"2003-12-01","Sin estacionalidad","52.3"
"2004-01-01","Con estacionalidad","55.9"
"2004-01-01","Sin estacionalidad","55.7"
"2004-02-01","Con estacionalidad","52.6"
"2004-02-01","Sin estacionalidad","51.4"
"2004-03-01","Con estacionalidad","58.5"
"2004-03-01","Sin estacionalidad","57.6"
"2004-04-01","Con estacionalidad","53.4"
