"indice_tiempo","con_estacionalidad","sin_estacionalidad"
"2002-06-01","31.5","31.5"
"2002-07-01","32.4","34.4"
"2002-08-01","35.5","34.0"
"2002-09-01","36.7","34.5"
"2002-10-01","39.7","37.3"
"2002-11-01","40.5","37.5"
"2002-12-01","40.2","38.4"
"2003-01-01","42.9","42.7"
"2003-02-01","38.0","37.2"
"2003-03-01","43.9","43.3"
"2003-04-01","45.4","45.6"
"2003-05-01","45.6","45.6"
"2003-06-01","43.6","43.6"
"2003-07-01","51.6","54.8"
"2003-08-01","53.8","51.5"
"2003-09-01","58.5","54.9"
"2003-10-01","59.6","56.1"
"2003-11-01","59.1","54.7"
"2003-12-01","54.8","52.3"
"2004-01-01","55.9","55.7"
"2004-02-01","52.6","51.4"
"2004-03-01","58.5","57.6"
"2004-04-01","53.4","53.6"
"2004-05-01","54.7","54.7"
"2004-06-01","56.3","56.3"
"2004-07-01","59.1","62.9"
"2004-08-01","59.1","56.5"
"2004-09-01","63.9","60.0"
"2004-10-01","63.2","59.4"
"2004-11-01","66.9","62.0"
"2004-12-01","63.5","60.6"
"2005-01-01","57.6","57.3"
"2005-02-01","54.9","53.7"
"2005-03-01","64.1","63.2"
"2005-04-01","62.4","66.4"
"2005-05-01","65.4","65.6"
"2005-06-01","63.8","60.2"
"2005-07-01","64.6","58.1"
"2005-08-01","72.7","76.3"
"2005-09-01","75.6","74.4"
"2005-10-01","76.5","74.4"
"2005-11-01","83.5","73.7"
"2005-12-01","79.6","81.3"
"2006-01-01","73.4","73.1"
"2006-02-01","70.9","83.4"
"2006-03-01","78.0","101.0"
"2006-04-01","77.1","100.4"
"2006-05-01","81.3","104.3"
"2006-06-01","79.7","105.7"
"2006-07-01","79.3","104.8"
"2006-08-01","87.1","97.6"
"2006-09-01","89.1","103.7"
"2006-10-01","89.8","102.7"
"2006-11-01","97.1","126.4"
"2006-12-01","81.6","109.9"
"2007-01-01","86.6","105.4"
"2007-02-01","84.4","111.4"
"2007-03-01","86.1","115.0"
"2007-04-01","89.2","122.5"
"2007-05-01","91.1","109.9"
"2007-06-01","90.0","122.4"
"2007-07-01","94.5","110.7"
"2007-08-01","104.8","119.3"
"2007-09-01","96.1","103.7"
"2007-10-01","110.9","131.8"
"2007-11-01","113.7","129.3"
"2007-12-01","97.8","105.3"
"2008-01-01","99.3","89.6"
"2008-02-01","95.7","88.5"
"2008-03-01","91.1","91.0"
"2008-04-01","100.3","95.2"
"2008-05-01","99.9","91.7"
"2008-06-01","88.5","87.3"
"2008-07-01","108.3","104.3"
"2008-08-01","104.5","95.7"
"2008-09-01","106.1","90.4"
"2008-10-01","105.4","89.9"
"2008-11-01","93.0","82.4"
"2008-12-01","75.5","71.2"
"2009-01-01","80.1","73.2"
"2009-02-01","74.9","72.3"
"2009-03-01","80.3","74.8"
"2009-04-01","83.4","83.7"
"2009-05-01","80.9","80.9"
"2009-06-01","85.4","80.7"
"2009-07-01","93.4","89.9"
"2009-08-01","93.8","85.8"
"2009-09-01","96.2","81.9"
"2009-10-01","94.4","81.5"
"2009-11-01","91.7","80.2"
"2009-12-01","87.0","82.0"
"2010-01-01","86.0","81.9"
"2010-02-01","84.8","81.9"
"2010-03-01","99.8","89.2"
"2010-04-01","99.6","95.7"
"2010-05-01","90.7","93.6"
"2010-06-01","97.8","92.5"
"2010-07-01","97.9","95.4"
"2010-08-01","104.0","93.9"
"2010-09-01","103.7","88.2"
"2010-10-01","104.6","94.3"
"2010-11-01","109.1","95.5"
"2010-12-01","100.6","93.6"
"2011-01-01","98.6","92.8"
"2011-02-01","96.9","93.7"
"2011-03-01","101.8","103.5"
"2011-04-01","106.1","106.6"
"2011-05-01","107.1","101.3"
"2011-06-01","104.0","98.4"
"2011-07-01","102.7","103.0"
"2011-08-01","116.6","101.2"
"2011-09-01","121.3","103.2"
"2011-10-01","117.6","105.9"
"2011-11-01","113.6","99.4"
"2011-12-01","101.3","100.3"
"2012-01-01","99.1","91.2"
"2012-02-01","89.7","95.0"
"2012-03-01","113.0","101.0"
"2012-04-01","97.6","107.5"
"2012-05-01","106.7","100.9"
"2012-06-01","108.1","103.5"
"2012-07-01","108.2","108.4"
"2012-08-01","110.3","95.7"
"2012-09-01","106.2","99.6"
"2012-10-01","115.9","98.9"
"2012-11-01","109.7","96.0"
"2012-12-01","97.3","98.1"
"2013-01-01","101.4","95.4"
"2013-02-01","93.3","103.8"
"2013-03-01","106.4","101.6"
"2013-04-01","110.9","109.9"
"2013-05-01","116.7","108.9"
"2013-06-01","110.0","115.2"
"2013-07-01","122.5","117.8"
"2013-08-01","126.3","110.9"
"2013-09-01","124.1","110.1"
"2013-10-01","127.8","109.1"
"2013-11-01","123.9","109.8"
"2013-12-01","107.6","101.4"
"2014-01-01","112.5","101.6"
"2014-02-01","106.0","102.5"
"2014-03-01","106.5","109.8"
"2014-04-01","107.3","107.7"
"2014-05-01","104.7","100.3"
"2014-06-01","101.1","99.8"
"2014-07-01","104.2","100.3"
"2014-08-01","106.1","97.1"
"2014-09-01","116.6","99.3"
"2014-10-01","120.5","102.8"
"2014-11-01","106.8","98.9"
"2014-12-01","103.6","97.6"
"2015-01-01","100.0","100.0"
"2015-02-01","108.1","114.6"
"2015-03-01","118.0","114.7"
"2015-04-01","127.3","117.9"
"2015-05-01","117.1","117.1"
"2015-06-01","129.9","121.2"
"2015-07-01","133.6","128.6"
"2015-08-01","132.8","121.5"
"2015-09-01","147.6","125.6"
"2015-10-01","141.5","122.2"
"2015-11-01","140.6","128.5"
"2015-12-01","126.8","124.9"
"2016-01-01","112.9","107.6"
"2016-02-01","103.9","105.0"
"2016-03-01","106.6","99.3"
"2016-04-01","98.9","93.9"
"2016-05-01","102.4","96.6"
"2016-06-01","102.1","100.8"
"2016-07-01","101.7","106.4"
"2016-08-01","114.8","99.6"
"2016-09-01","121.2","103.1"
"2016-10-01","113.6","102.3"
"2016-11-01","112.2","98.2"
"2016-12-01","110.7","104.3"
"2017-01-01","105.1","94.9"
"2017-02-01","96.9","102.7"
"2017-03-01","118.6","106.0"
"2017-04-01","105.4","107.3"
"2017-05-01","117.3","110.9"
"2017-06-01","119.5","116.4"
"2017-07-01","125.8","121.0"
"2017-08-01","142.6","125.2"
"2017-09-01","140.0","120.6"
"2017-10-01","137.4","122.2"
"2017-11-01","147.6","129.2"
"2017-12-01","123.1","117.6"
"2018-01-01","120.2","108.5"
"2018-02-01","108.9","115.4"
"2018-03-01","121.4","114.6"
"2018-04-01","124.9","125.3"
"2018-05-01","126.0","119.1"
"2018-06-01","113.1","108.4"
"2018-07-01","116.3","116.6"
"2018-08-01","125.4","108.8"
"2018-09-01","119.8","107.6"
"2018-10-01","113.6","96.9"
"2018-11-01","102.7","89.9"
"2018-12-01","84.0","84.0"
"2019-01-01","96.1","86.7"
"2019-02-01","94.5","91.3"
"2019-03-01","101.7","100.1"
"2019-04-01","103.4","103.9"
"2019-05-01","109.7","102.4"
"2019-06-01","97.4","101.9"
