"d","v","anio","mes"
1996-04-01,47165,1996,4
1996-05-02,47046,1996,5
1996-06-03,47695,1996,6
1996-07-01,47861,1996,7
1996-08-01,47784,1996,8
1996-09-02,48003,1996,9
1996-10-01,48406,1996,10
1996-11-01,48513,1996,11
1996-12-02,49807,1996,12
1997-01-02,51104,1997,1
1997-02-03,51509,1997,2
1997-03-03,51910,1997,3
1997-04-01,52450,1997,4
1997-05-02,53051,1997,5
1997-06-02,54294,1997,6
1997-07-01,55578,1997,7
1997-08-01,55998,1997,8
1997-09-01,56623,1997,9
1997-10-01,57581,1997,10
1997-11-03,57802,1997,11
1997-12-01,58590,1997,12
1998-01-02,60146,1998,1
1998-02-02,60849,1998,2
1998-03-02,61779,1998,3
1998-04-01,62282,1998,4
1998-05-04,62724,1998,5
1998-06-01,63885,1998,6
1998-07-01,64525,1998,7
1998-08-03,65024,1998,8
1998-09-01,66541,1998,9
1998-10-01,66386,1998,10
1998-11-02,66789,1998,11
1998-12-01,66400,1998,12
1999-01-04,66267,1999,1
1999-02-01,66701,1999,2
1999-03-01,66933,1999,3
1999-04-05,66742,1999,4
1999-05-03,66059,1999,5
1999-06-01,66398,1999,6
1999-07-01,66493,1999,7
1999-08-02,65792,1999,8
1999-09-01,65835,1999,9
1999-10-01,65737,1999,10
1999-11-01,65947,1999,11
1999-12-01,66170,1999,12
2000-01-03,66833,2000,1
2000-02-01,65955,2000,2
2000-03-01,65224,2000,3
2000-04-03,64736,2000,4
2000-05-02,64373,2000,5
2000-06-01,64409,2000,6
2000-07-03,63908,2000,7
2000-08-01,63425,2000,8
2000-09-01,63773,2000,9
2000-10-02,63773,2000,10
2000-11-01,63725,2000,11
2000-12-01,63875,2000,12
2001-01-02,62711,2001,1
2001-02-01,62058,2001,2
2001-03-01,61818,2001,3
2001-04-03,59099,2001,4
2001-05-02,58623,2001,5
2001-06-01,58143,2001,6
2001-07-02,57927,2001,7
2001-08-01,56278,2001,8
2001-09-03,54939,2001,9
2001-10-01,54530,2001,10
2001-11-01,53544,2001,11
2001-12-03,51976,2001,12
2002-01-02,50981,2002,1
2002-02-01,57452,2002,2
2002-03-01,65936,2002,3
2002-04-02,64456,2002,4
2002-05-02,56552,2002,5
2002-06-03,50848,2002,6
2002-07-01,48998,2002,7
2002-08-01,42380,2002,8
2002-09-02,40568,2002,9
